Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_210Hz,Q_210Hz,I_270Hz,Q_270Hz,I_330Hz,Q_330Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC210Hz[mS/m],EC270Hz[mS/m],EC330Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc210Hz[1/1000],MSusc270Hz[1/1000],MSusc330Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,37,727475.21,4335880.18,0,0,1,331.76,1536732.400,002536.7324,10.9,1.99789e+002,-3.32558e+003,6.29957e+002,-2.27598e+003,1.04840e+003,-1.43542e+003,1.02453e+003,3.27771e+003,6.90576e+003,9.79705e+003, 1.30907e+000, 8.27469e+000, 1.54478e+001, 5.45188e+001, 6.44465e+001, 5.91889e+001, 5.25255e-001, 1.65712e+000, 2.75937e+000, 2.69646e+000, 1.83170e+001
0,38,727475.16,4335880.12,0,0,1,331.75,1536832.400,002536.8324,7.0,-1.16998e+003,-1.40487e+002,-5.07322e+002,1.25885e+002,2.51955e+002,3.68002e+002,7.66712e+002,3.18554e+003,7.20653e+003,9.69655e+003, 3.44428e-001, 1.17595e+002, 3.03636e+002, 5.19903e+001, 6.46856e+001, 5.79623e+001,-3.07040e+000,-1.33253e+000, 6.62447e-001, 2.01722e+000, 1.91224e+001
0,39,727475.10,4335880.07,0,0,1,331.74,1536932.600,002536.9326,6.6,-9.27371e+002,2.77395e+002,-6.36798e+002,1.06954e+001,-1.26683e+002,5.95324e+002,6.34015e+002,3.05110e+003,6.95520e+003,9.60517e+003, 3.38198e+002, 9.76427e+000, 4.71651e+002, 4.92373e+001, 6.34436e+001, 5.59200e+001,-2.43449e+000,-1.67233e+000,-3.32913e-001, 1.66781e+000, 1.84494e+001
0,40,727475.05,4335879.99,0,0,1,331.75,1537032.400,002537.0324,4.1,1.03626e+003,-4.46026e+003,9.87914e+002,-3.39410e+003,8.34160e+002,-2.43679e+003,6.95689e+002,3.09224e+003,6.84108e+003,9.43313e+003, 2.37533e+001, 1.68643e+001, 1.02198e+001, 5.01492e+001, 6.20452e+001, 5.57451e+001, 2.72737e+000, 2.59997e+000, 2.19488e+000, 1.83019e+000, 1.81439e+001
0,41,727474.98,4335879.88,0,0,1,331.78,1537132.400,002537.1324,3.7,9.59664e+001,-1.26316e+003,2.18726e+002,-6.48102e+002,-7.05798e+001,-4.60007e+002,8.31429e+002,3.08852e+003,7.12714e+003,9.23796e+003, 4.28078e-001, 1.88888e+000, 2.16745e-001, 5.05751e+001, 6.15657e+001, 5.57452e+001, 2.52266e-001, 5.75055e-001,-1.85492e-001, 2.18768e+000, 1.89098e+001
0,42,727474.91,4335879.77,0,0,1,331.81,1537232.400,002537.2324,1.4,-1.12390e+003,2.67462e+003,-8.77706e+002,2.43101e+003,-1.04768e+003,1.81923e+003,8.11528e+002,2.98615e+003,7.07918e+003,9.45929e+003, 3.56056e+003, 2.50314e+003, 1.50844e+003, 4.87743e+001, 6.28318e+001, 5.53870e+001,-2.94965e+000,-2.30427e+000,-2.74989e+000, 2.13526e+000, 1.87813e+001
0,43,727474.85,4335879.66,0,0,1,331.84,1537332.500,002537.3325,1.0,-9.34356e+002,2.04723e+003,-6.84858e+002,1.89076e+003,-1.05360e+003,1.15586e+003,6.81516e+002,2.91826e+003,6.84989e+003,9.84551e+003, 2.68491e+003, 1.92070e+003, 9.38474e+002, 4.71780e+001, 6.46547e+001, 5.53992e+001,-2.45281e+000,-1.79843e+000,-2.76541e+000, 1.79287e+000, 1.81675e+001
0,44,727474.78,4335879.55,0,0,1,331.87,1537432.400,002537.4324,1.5,-6.04599e+002,1.11571e+003,-3.86518e+002,8.49792e+002,-6.21124e+002,4.46444e+002,6.62753e+002,3.02298e+003,6.78983e+003,9.63679e+003, 1.42133e+003, 8.33036e+002, 3.50657e+002, 4.88676e+001, 6.31862e+001, 5.56032e+001,-1.58784e+000,-1.01539e+000,-1.63120e+000, 1.74347e+000, 1.80068e+001
0,45,727474.72,4335879.44,0,0,1,331.90,1537532.400,002537.5324,0.7,-4.63360e+002,1.05899e+003,-1.67880e+002,5.72361e+002,-3.32499e+002,4.05374e+002,6.85736e+002,3.16037e+003,6.80288e+003,9.44948e+003, 1.34610e+003, 5.53408e+002, 3.17483e+002, 5.12691e+001, 6.20461e+001, 5.63387e+001,-1.21713e+000,-4.41151e-001,-8.73544e-001, 1.80398e+000, 1.80417e+001
0,46,727474.65,4335879.33,0,0,1,331.93,1537632.400,002537.6324,0.6,-4.52840e+002,5.71553e+002,3.09904e+001,3.57908e+002,-2.29967e+002,2.26986e+002,6.64848e+002,3.16210e+003,6.50649e+003,9.65617e+003, 7.10539e+002, 3.43792e+002, 1.75383e+002, 5.12222e+001, 6.25406e+001, 5.65465e+001,-1.18952e+000, 8.14571e-002,-6.04253e-001, 1.74899e+000, 1.72489e+001
