;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1,100, 0,0,1,539368543,27.9, 33756.625,22248.043,52771.898,23193.898,71783.539,19726.633,86391.625,13038.666,98299.852,6846.575,85053.820
 1,101, 0,0,1,539369543,27.3, 33556.863,22293.148,52564.898,23482.160,71870.648,20230.582,85954.836,13003.603,98773.625,6206.202,85215.695
 1,102, 0,0,1,539370543,29.1, 33730.793,21862.779,52702.809,23528.994,71722.781,19513.453,86346.680,12829.703,99460.313,5784.415,83519.344
 1,103, 0,0,1,539371543,28.5, 33562.164,22216.000,52608.836,23207.799,72200.117,19545.846,85978.859,12872.458,99988.375,7437.919,85280.023
 1,104, 0,0,1,539372543,30.3, 33884.324,21861.498,52622.613,23137.707,72378.906,20096.408,85841.406,13325.585,98412.320,6151.365,84572.563
 1,105, 0,0,1,539373543,34.7, 33497.422,22379.760,52735.305,23805.826,71406.656,19441.213,85805.734,13068.904,98988.055,6988.162,85683.867
 1,106, 0,0,1,539374543,33.4, 33624.586,21981.764,52752.520,23069.209,72139.641,19698.809,85927.633,12981.464,99277.719,7542.475,85273.719
 1,107, 0,0,1,539375543,33.2, 33928.207,21825.496,52720.660,23373.422,72181.820,19853.129,86045.516,13102.498,98756.891,6433.982,84588.531
 1,108, 0,0,1,539376543,33.3, 33786.578,22029.025,53455.723,23379.787,72033.453,19773.619,86020.773,12948.209,99128.719,6376.297,84506.938
 1,109, 0,0,1,539377543,34.9, 33691.434,22036.033,52483.930,24346.068,71969.852,19568.820,86143.148,12816.619,99220.672,6664.271,85431.813
 1,110, 0,0,1,539378543,36.4, 33689.090,21403.420,52694.727,23237.311,71844.047,19251.041,85953.242,12957.626,98125.703,6253.484,83102.883
 1,111, 0,0,1,539379543,36.5, 33731.418,22274.053,52988.934,23361.535,72238.422,19935.188,86065.625,13041.484,99529.164,6205.946,84818.203
 1,112, 0,0,1,539380543,36.5, 33958.207,22076.289,52819.113,23158.381,72228.961,19690.697,86221.617,12827.625,98895.680,6738.671,84491.664
 1,113, 0,0,1,539381543,36.4, 33803.238,22035.336,52601.250,23036.340,72447.078,19447.611,86142.953,13004.355,98826.891,5169.738,82693.375
 1,114, 0,0,1,539382543,35.7, 33598.664,21912.258,53024.555,23295.918,71930.680,19611.088,86348.617,12913.854,98675.641,6699.413,84432.531
 1,115, 0,0,1,539383543,34.3, 33768.070,21791.506,52612.180,23194.611,72057.148,19481.037,86016.180,12903.732,98937.258,6812.831,84183.719
 1,116, 0,0,1,539384543,34.8, 33602.176,22080.734,52659.230,23252.191,72284.859,19399.283,85904.773,13003.199,98592.617,6281.624,84017.031
 1,117, 0,0,1,539385543,35.4, 33969.383,21631.658,52907.918,23225.088,71976.258,20012.807,86186.016,12896.971,98870.594,6477.271,84243.797
 1,118, 0,0,1,539386543,35.2, 33486.828,22507.039,52780.676,23275.490,72920.336,19943.568,85709.227,12956.005,99285.953,6644.670,85326.781
 1,119, 0,0,1,539387543,35.3, 33441.309,22314.971,52854.520,23073.277,72203.297,19759.547,86157.500,12859.903,98944.633,6322.652,84330.359
 1,120, 0,0,1,539388543,35.2, 33372.836,21966.828,52911.496,23438.596,71895.406,19334.795,86391.914,13085.148,99043.813,6623.032,84448.398
 1,121, 0,0,1,539389543,35.7, 33642.391,22028.342,52842.621,23100.480,72262.320,19956.672,86036.156,12996.312,98755.789,6218.716,84300.523
 1,122, 0,0,1,539390543,36.0, 33763.484,22098.922,52773.977,23185.299,72179.375,19809.275,86205.344,12837.821,98330.266,7374.481,85305.797
 1,123, 0,0,1,539391543,36.7, 33642.371,22504.277,52777.789,23360.961,72116.781,19661.844,85984.922,12700.070,99282.625,6816.386,85043.539
 1,124, 0,0,1,539392543,36.5, 33618.594,21747.189,52697.148,23281.271,72381.555,19772.576,86037.445,13001.680,99230.422,6280.359,84083.078
 1,125, 0,0,1,539393543,35.7, 33658.648,22837.109,52963.512,23554.582,72234.313,19585.094,86260.672,13061.318,98619.008,7195.229,86233.328
 1,126, 0,0,1,539394543,35.4, 33875.520,22392.340,52727.570,23261.053,71860.367,19488.625,85894.859,12988.272,99791.555,6579.020,84709.313
 1,127, 0,0,1,539395543,36.1, 33523.352,21691.975,52713.063,23069.422,72038.281,19624.689,86028.953,13027.542,99029.672,6374.864,83788.492
 1,128, 0,0,1,539396543,36.1, 33583.801,22352.840,52936.438,23370.299,71775.000,19678.689,86254.258,12817.146,99053.203,6017.250,84236.227
 1,129, 0,0,1,539397543,36.2, 33682.531,21635.150,52873.766,23033.316,72147.289,19869.596,85924.063,12869.085,98865.344,6477.764,83884.914
 1,130, 0,0,1,539398543,36.2, 33605.535,21680.967,52720.617,23290.859,72159.398,19569.027,86238.117,12808.225,98374.680,6589.312,83938.391
 1,131, 0,0,1,539399543,36.5, 33686.867,22043.744,52918.547,23371.691,72048.109,19999.170,86257.148,13092.600,98881.484,6444.573,84951.781
 1,132, 0,0,1,539400543,36.5, 33733.594,21816.674,52754.836,23225.207,71969.734,19475.150,85822.664,12834.400,99365.250,6105.277,83456.703
 1,133, 0,0,1,539401543,36.2, 33697.273,22128.893,52521.203,23419.555,72767.680,19906.510,86200.766,12797.957,99524.523,6538.655,84791.563
 1,134, 0,0,1,539402543,36.0, 33878.461,22082.955,52654.383,23361.857,71732.891,19157.580,85986.539,12971.517,98310.344,5459.459,83033.367
 1,135, 0,0,1,539403543,36.0, 33708.355,21951.893,52774.387,23345.430,72022.547,20030.467,85939.820,12881.766,99632.844,7061.666,85271.219
 1,136, 0,0,1,539404543,35.6, 33601.684,22093.479,52763.676,23164.516,72165.109,19680.029,85923.453,12881.478,99191.375,5966.921,83786.422
 1,137, 0,0,1,539405543,34.9, 33940.910,21908.369,52502.137,23160.133,71534.984,19503.887,86239.711,13427.173,98817.281,6056.319,84055.883
 1,138, 0,0,1,539406543,35.5, 33681.063,22036.301,52892.059,23106.418,72502.125,19468.445,86201.125,13155.828,98752.773,6127.133,83894.125
 1,139, 0,0,1,539407543,35.4, 33640.402,21919.848,52740.328,23364.336,72120.703,19932.027,86163.563,13018.523,98808.172,6394.913,84629.648
 1,140, 0,0,1,539408543,35.7, 33695.609,22067.561,52827.750,23382.311,72157.898,19702.102,86101.406,13056.383,98026.156,6123.677,84332.039
 1,141, 0,0,1,539409543,35.9, 33756.387,21933.711,53098.730,23224.285,72460.211,19554.461,86012.406,12444.466,99087.367,6099.652,83256.578
 1,142, 0,0,1,539410544,36.2, 33915.938,21876.887,52790.031,23066.783,72166.500,19711.859,85800.297,12898.335,98785.352,6572.789,84126.656
 1,143, 0,0,1,539411544,35.9, 33609.156,21925.299,52649.207,23012.104,72013.523,19577.814,86329.078,13281.511,98429.117,6726.940,84523.664
